Parameters,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Relative Humidity,2010,62.25,70.06,67.62,76.25,85,86.75,88.5,88.62,86.31,74.5,66.44,64.44,76.44
Relative Humidity,2011,60.06,46.62,53.75,67,80.62,85.88,84.5,85.31,83.75,68.44,73.88,57.06,70.69
Relative Humidity,2012,47.06,33.25,41.38,73.19,77.56,84.44,87.06,87.88,86.94,73.44,68.12,64.75,68.88
Relative Humidity,2013,60.44,47.38,64.94,75.56,84.25,88.75,89.19,88.69,85.31,78.69,75.12,63.75,75.31
Relative Humidity,2014,63.25,64.06,64.81,78.06,84.31,84.69,88.44,88.19,86.31,80.06,73.31,65,76.75
Relative Humidity,2015,57.12,49.81,47.81,59.25,78.19,83.19,85.5,83.5,79.19,76.19,71,66.75,69.94
Relative Humidity,2016,67.19,51.06,59.12,77.31,83.5,84.5,87.88,86.25,84.5,78.38,68.06,60.38,74.06
Relative Humidity,2017,39.75,58.75,57.38,62,81.69,83.5,87.25,86.06,85.44,78.38,69.81,54.06,70.38
Relative Humidity,2018,51.5,56.69,61.69,74.56,79.06,87.12,86.19,84.62,78.19,74.38,71.19,58.56,72.06
Relative Humidity,2019,36.5,43.62,53.88,73.75,74.5,85.75,85.19,85.69,85.25,78.06,76.94,71.94,71.06
Relative Humidity,2020,66.12,62.31,66.69,73.5,81.69,87.62,88.69,89.38,85.81,74.12,68.19,61.25,75.5
Relative Humidity,2021,60.5,59.31,43.5,61.88,78.62,80.88,86.31,84.69,85.62,78.06,69.38,64.94,71.19
Relative Humidity,2022,63.56,53.94,48.62,66.81,69.75,83.12,86.56,86.62,85.19,78.5,67.19,63.5,71.25
Temp_Max,1993,25.81,27.7,29.55,28.05,25.39,22.08,21.8,22.83,22.83,23.04,23.95,25,29.55
Temp_Max,1994,29.73,30.96,31.53,29.65,25.97,23.47,21.43,22.33,23.22,23.59,24.66,26.49,31.53
Temp_Max,1995,29.19,30.72,30.05,29.88,26.42,25.17,21.87,22.76,23.5,23.68,23.98,24.81,30.72
Temp_Max,1996,25.99,29.78,29.95,26.62,25.98,22.35,22.09,22.56,22.78,23.58,23.74,24.47,29.95
Temp_Max,1997,27.3,31.17,31.97,27.39,26,23.66,23.08,23.23,23.44,23.81,24.13,24.55,31.97
Temp_Max,1998,27.26,26.39,28.4,29.87,27.09,26.08,22.12,22.69,22.27,23.61,23.48,24.28,29.87
Temp_Max,1999,27.68,31.38,31.33,30.92,25.46,24.07,21.87,21.89,23.61,23.27,23.83,24.87,31.38
Temp_Max,2000,28.82,31.95,33.64,31.87,25.34,23.38,22.82,23.63,23.44,24.21,24.95,26.48,33.64
Temp_Max,2001,28.11,32.48,32.32,28.69,27.17,23.27,23.31,23.44,24.17,25.03,25.51,28.59,32.48
Temp_Max,2002,29.06,32.73,30.85,29.45,27.61,26.22,23.86,24.05,24.64,26.12,28.8,29.52,32.73
Temp_Max,2003,30.7,33.25,33.09,31.94,32.47,27.26,23.69,23.34,24.15,27.97,28.95,28.62,33.25
Temp_Max,2004,30.98,32.42,33.66,28.26,31.31,24.61,24.69,24.07,24.23,26.62,28.03,28.7,33.66
Temp_Max,2005,30.4,34.01,31.96,32.73,25.4,24.75,22.57,23.59,23.98,24.98,25.19,28.82,34.01
Temp_Max,2006,31.8,31.83,30.01,26.87,25.96,23.64,22.37,22.43,22.87,23.22,23.76,24.62,31.83
Temp_Max,2007,26.18,27.44,31.23,28.83,27.26,24.45,22.62,21.9,22.73,23.31,24.19,26.13,31.23
Temp_Max,2008,29.01,31.23,32.59,29.33,26.42,24.03,22.38,23.3,23.52,23.49,23.76,24.26,32.59
Temp_Max,2009,25.69,30.56,31.15,29.38,29.53,25.56,22.83,23.02,24.17,23.88,24.27,24.94,31.15
Temp_Max,2010,27.91,28.79,29.88,27.58,25.25,23.96,22.06,22.09,22.87,24.12,23.94,24.42,29.88
Temp_Max,2011,28.44,31.75,32.08,31.33,26.84,23.88,23.92,23.32,23.94,25.02,24.48,26.93,32.08
Temp_Max,2012,30.15,32.36,33.31,28.12,26.54,23.98,22.65,22.34,22.17,24.23,24.69,25.01,33.31
Temp_Max,2013,28.7,32.33,32.53,27.14,24.06,22.4,21.98,21.86,23.23,23.41,23.87,24.28,32.53
Temp_Max,2014,28.24,28.95,30.71,26.51,24.8,25.12,22.2,22.3,22.19,23.7,23.92,23.95,30.71
Temp_Max,2015,27.96,30.58,32.87,32.16,31.01,27.5,23.4,23.34,24.08,25.37,25.62,27.45,32.87
Temp_Max,2016,28.97,32.26,32.94,28.09,25.36,24.69,22.65,22.31,23.97,24.55,24.94,26.05,32.94
Temp_Max,2017,29.94,30.82,32.38,32.65,26.9,24.31,22.76,23.1,24.08,24.51,24.69,26.23,32.65
Temp_Max,2018,29.1,30.83,30.65,28.78,29.03,23.35,22.83,23.12,24.74,25.65,25.88,28.51,30.83
Temp_Max,2019,31.9,32.88,33.81,30.24,30.48,25.54,23.52,23.5,23.05,24.19,24.54,25.38,33.81
Temp_Max,2020,27.48,31.69,32.81,31.04,26.4,23.71,22.3,22.89,23.02,24.12,24.4,26.65,32.81
Temp_Max,2021,28.11,29.65,33.09,32.69,27.26,27.02,23.33,23.44,23.24,24.22,24.51,26.58,33.09
Temp_Max,2022,27.87,30.66,32.96,33.4,30.41,25.2,22.55,23.15,23.36,24.25,24.98,26.3,33.4
Temp_Min,1993,8.3,9.3,5.68,13.46,12.51,12.16,11.51,9.87,11.15,8.71,7.29,5.19,5.19
Temp_Min,1994,4.82,7.53,12.35,13.74,11.73,12.33,11.82,11.77,11.94,7.25,6.81,7.55,4.82
Temp_Min,1995,6.23,9.81,11.66,13.05,10.6,12.69,11.98,11.94,11.99,8.13,7.56,8.9,6.23
Temp_Min,1996,8.83,8.84,12.23,12.47,11.07,12.62,12.11,11.61,12.18,9.45,6.11,6.08,6.08
Temp_Min,1997,8.51,6.33,12.07,12.62,12.49,12.63,11.58,11.39,12.39,9.73,8.85,9.56,6.33
Temp_Min,1998,10.51,11.08,12.26,13.62,13.3,12.8,12.14,11.93,11.43,8.83,6.48,5.83,5.83
Temp_Min,1999,6.71,6.64,12.6,13.44,13.07,12.12,11.86,11.52,11.24,8.65,6.56,6.42,6.42
Temp_Min,2000,6.87,9.25,11.4,11.82,12.94,11.48,11.2,10.51,12.46,9.12,6.07,7.09,6.07
Temp_Min,2001,9.37,8.77,10.78,12.19,12.62,12.18,12.02,11.52,12.15,9.7,6.91,9.13,6.91
Temp_Min,2002,8.42,8.99,12.06,10.93,12.98,12.62,11.92,11.69,11.33,9.37,7.73,8.94,7.73
Temp_Min,2003,7.03,10.9,12.07,10.89,12.19,12.49,11.85,12.23,12.72,8.71,9.51,5.73,5.73
Temp_Min,2004,9.62,10.28,10.44,13.58,13.14,12.83,12.25,12.11,11.67,7.14,7.44,7.37,7.14
Temp_Min,2005,5.25,9.53,12.11,11.09,12.69,12.71,11.95,11.92,12.93,8.06,6.25,6.13,5.25
Temp_Min,2006,9.15,9.72,12.89,11.33,12.78,12.06,12.11,11.1,11.28,10.18,6.87,7.98,6.87
Temp_Min,2007,7.14,11.11,10.24,11.76,12.61,12.73,11.96,11.74,11.44,7.27,5.62,4.44,4.44
Temp_Min,2008,7.09,8.15,8.99,10.33,12.8,12.08,11.68,12.31,12.3,7.83,5.05,5.89,5.05
Temp_Min,2009,6.3,9.29,11.31,12.9,12.78,12.66,11.19,12.46,12.44,8.44,6.34,9.73,6.3
Temp_Min,2010,7.93,12.08,10.45,12.22,14.18,12.23,12.55,11.97,12.09,8.61,6.91,5.25,5.25
Temp_Min,2011,7.32,7.42,10.4,11.27,13.3,11.83,12.3,12.12,12.65,7.53,8.44,5.05,5.05
Temp_Min,2012,5.37,8.68,10.27,12.8,12.23,12.26,12.33,12.51,12.56,7.52,8.37,7.23,5.37
Temp_Min,2013,7.7,10.28,13.96,13.55,12.59,12.79,11.93,11.53,12.21,8.3,7.58,5.95,5.95
Temp_Min,2014,8.73,10.47,12.15,13,13.29,12.74,11.22,12.37,12.13,9.22,7.83,6.87,6.87
Temp_Min,2015,5.23,8.06,10.45,11.15,12.44,12.83,12.33,11.3,12.88,11.48,7.59,8.58,5.23
Temp_Min,2016,11.57,9.67,12.69,14.23,13.15,12.44,12.3,11.44,11.69,7.37,5.57,5.58,5.57
Temp_Min,2017,4.03,10.34,12.07,12.64,13.39,12.41,12.16,12.59,12.45,10.01,6.4,5.15,4.03
Temp_Min,2018,5.81,7.02,11.09,13.17,13.01,12.78,12.41,10.94,11.4,9.38,7.24,8.65,5.81
Temp_Min,2019,6.89,11.23,13.94,13.36,13.15,13.51,12.58,12.23,12.24,8.11,8.61,8.09,6.89
Temp_Min,2020,8.11,10.63,12.12,12.98,12.82,13.01,12.14,12.16,12,8.03,6.95,5.72,5.72
Temp_Min,2021,7.2,8.47,10.36,11.51,11.64,12.87,11.97,11.48,12.37,8.32,8.2,5.73,5.73
Temp_Min,2022,8.17,9.06,11.16,13.33,12.89,13.08,12.14,12.08,12.26,9.56,8.25,7.92,7.92
Windspeed_Max,1993,6.47,5.94,5.02,4.68,4.7,4.63,4.47,4.27,4.02,5.38,6.16,6.14,6.47
Windspeed_Max,1994,6.54,5.45,4.55,5.07,4.01,4.38,4.7,4.44,6.05,5.61,5.29,6.16,6.54
Windspeed_Max,1995,4.97,5.17,5.79,5.27,5.16,3.98,4.8,4.56,4.05,7.23,4.99,4.91,7.23
Windspeed_Max,1996,5.21,4.91,5.59,4.16,4.45,4.34,4.12,4.25,4.11,6.33,6.03,5.91,6.33
Windspeed_Max,1997,5.05,7.06,5.35,4.98,5.14,3.98,5.26,4.37,4.12,5.16,5.16,5.52,7.06
Windspeed_Max,1998,7.27,4.11,5.02,5.09,4.91,4.57,4.62,4.74,4.16,4.77,6.11,6.22,7.27
Windspeed_Max,1999,6.26,7.2,4.69,5.2,4.25,4.8,5.02,4.49,4.9,4.73,6.17,6.39,7.2
Windspeed_Max,2000,7.7,5.88,7.16,6.82,4.62,4.29,5.52,5.81,5.37,4.96,5.91,6.41,7.7
Windspeed_Max,2001,4.08,6.03,4.45,6.78,3.94,5.25,4.63,5.19,4.57,5.27,6.65,5.76,6.78
Windspeed_Max,2002,4.99,6.05,5.15,7.81,4.27,4.74,4.36,4.3,5.04,5.95,6.77,6.12,7.81
Windspeed_Max,2003,5.91,6.36,6.91,7.02,6.26,4.7,4.75,6.29,4.35,7.17,7.13,6.64,7.17
Windspeed_Max,2004,6.08,6.72,6.01,4.82,5.02,4.76,4.67,4.86,4.66,7.1,6.46,5.88,7.1
Windspeed_Max,2005,5.8,6.18,4.23,5.06,5.55,4.37,5.24,4.95,4.7,5.55,6.85,6.44,6.85
Windspeed_Max,2006,6.3,6,4.01,4.12,4.87,4.2,5.62,4.94,5.46,5.12,5.49,5.24,6.3
Windspeed_Max,2007,5.13,5.8,6.01,5.55,4.45,4.93,4.45,4.71,5.09,5.94,6.6,6.1,6.6
Windspeed_Max,2008,5.72,7.94,6.61,5.84,4.75,5.54,4.82,4.15,5.3,5.42,5.65,5.8,7.94
Windspeed_Max,2009,6.05,6.03,5.32,5.29,5.98,3.96,5.5,4.35,4.11,5.87,6.42,5.43,6.42
Windspeed_Max,2010,5.7,4.41,6.57,5.26,4.34,4.48,5.02,5.72,4.52,4.91,5.63,6.53,6.57
Windspeed_Max,2011,5.86,7.02,5.35,6.09,4.7,4.34,4.7,4.66,5.19,5.57,5.48,5.8,7.02
Windspeed_Max,2012,5.13,6.38,5.74,3.98,5.68,5.05,4.92,4.59,4.52,5.86,5.48,5.67,6.38
Windspeed_Max,2013,5.84,8.02,4.11,3.92,3.99,4.73,5.4,4.86,4.2,5.62,5.89,5.29,8.02
Windspeed_Max,2014,5.63,4.72,6.12,5.6,3.72,4.45,4.45,4.23,4.62,5.14,6.46,7.55,7.55
Windspeed_Max,2015,4.88,5.46,6.09,5.26,5.22,4.45,4.62,4.81,4.66,6.52,7.09,5.23,7.09
Windspeed_Max,2016,5.55,7.14,7.22,4.88,5.82,4.24,4.91,5.27,4.62,6.52,6.28,7.57,7.57
Windspeed_Max,2017,6.53,6,4.96,6.52,4.01,4.62,4.87,5.16,5.9,6.95,5.86,6.1,6.95
Windspeed_Max,2018,4.73,4.96,6.31,4.45,6.73,5.36,4.52,4.85,5.41,5.93,7.85,5.62,7.85
Windspeed_Max,2019,7.84,6.41,6.35,4.91,4.77,4.09,4.95,5.06,5.91,6.06,5.51,6.25,7.84
Windspeed_Max,2020,6.15,6.08,5.38,6.25,4.78,5.65,5.22,4.53,4.59,5.55,6.01,5.69,6.25
Windspeed_Max,2021,5.8,5.22,7.26,6.36,4.57,4.64,6.05,5,4.89,6.6,7.57,6.53,7.57
Windspeed_Max,2022,6.12,5.79,7.16,5.79,6.8,4.23,5.75,4.66,4.57,5.67,6.12,5.95,7.16
Windspeed_Min,1993,0.07,0.08,0.12,0.1,0.05,0.22,0.14,0.11,0.15,0.2,0.15,0.12,0.05
Windspeed_Min,1994,0.02,0.22,0.14,0.07,0.09,0.41,0.23,0.24,0.2,0.59,0.09,0.1,0.02
Windspeed_Min,1995,0.19,0.19,0.07,0.09,0.12,0.2,0.11,0.1,0.07,0.15,0.01,0.09,0.01
Windspeed_Min,1996,0.02,0.12,0.09,0.08,0.08,0.28,0.06,0.33,0.05,0.2,0.17,0.08,0.02
Windspeed_Min,1997,0.11,0.16,0.22,0.02,0.12,0.08,0.11,0.1,0.1,0.09,0.16,0.13,0.02
Windspeed_Min,1998,0.15,0.09,0.11,0.27,0.13,0.37,0.37,0.69,0.05,0.18,0.11,0.09,0.05
Windspeed_Min,1999,0.09,0.12,0.03,0,0.02,0.12,0.33,0.28,0.14,0.06,0.23,0.1,0
Windspeed_Min,2000,0.16,0.11,0.17,0.03,0.09,0.16,0.13,0.5,0.2,0.1,0.07,0.09,0.03
Windspeed_Min,2001,0.03,0.08,0.02,0.08,0.06,0.02,0.35,0.37,0.09,0.11,0.16,0.32,0.02
Windspeed_Min,2002,0.15,0.14,0.08,0.34,0.08,0.16,0.09,0.24,0.02,0.12,0.06,0.09,0.02
Windspeed_Min,2003,0.06,0.05,0.02,0.11,0.04,0.14,0.19,0.2,0.27,0.2,0.13,0.12,0.02
Windspeed_Min,2004,0.13,0.08,0.21,0.07,0.1,0.04,0.18,0.19,0.05,0.14,0.15,0.09,0.04
Windspeed_Min,2005,0.1,0.35,0.13,0.02,0.09,0.2,0.32,0.1,0.18,0.05,0.16,0.17,0.02
Windspeed_Min,2006,0.05,0.09,0.07,0.04,0.03,0.15,0.32,0.2,0.19,0.03,0.12,0.12,0.03
Windspeed_Min,2007,0.1,0.09,0.05,0.1,0.21,0.05,0.1,0.16,0.19,0.2,0.35,0.11,0.05
Windspeed_Min,2008,0.05,0.21,0.09,0.24,0.3,0.27,0.2,0.2,0.14,0.08,0.09,0.05,0.05
Windspeed_Min,2009,0.03,0.22,0.08,0.09,0.02,0.07,0.12,0.21,0.05,0.13,0.07,0.13,0.02
Windspeed_Min,2010,0.09,0.05,0.05,0.09,0.12,0.15,0.86,0.15,0.04,0.2,0.05,0.05,0.04
Windspeed_Min,2011,0.13,0.03,0.09,0.05,0.07,0.2,0.11,0.18,0.06,0.15,0.02,0.05,0.02
Windspeed_Min,2012,0.14,0.09,0.03,0.05,0.09,0.12,0.34,0.19,0.14,0.06,0.12,0.06,0.03
Windspeed_Min,2013,0.19,0.03,0.05,0.04,0.07,0.09,0.3,0.3,0.07,0.14,0.05,0.15,0.03
Windspeed_Min,2014,0.05,0.06,0.15,0.25,0.1,0.07,0.3,0.02,0.15,0.27,0.12,0.07,0.02
Windspeed_Min,2015,0.13,0.04,0.12,0.1,0.14,0.02,0.12,0.07,0.12,0.14,0.2,0.12,0.02
Windspeed_Min,2016,0.14,0.14,0.09,0.16,0.09,0.08,0.27,0.13,0.05,0.2,0.09,0.16,0.05
Windspeed_Min,2017,0.23,0.17,0.05,0.16,0.1,0.03,0.08,0.26,0.05,0.12,0.2,0.13,0.03
Windspeed_Min,2018,0.05,0.05,0.1,0.02,0.1,0.2,0.54,0.13,0.19,0.04,0.22,0.09,0.02
Windspeed_Min,2019,0.17,0.16,0.02,0,0.12,0.09,0.31,0.12,0.11,0.22,0.11,0.13,0
Windspeed_Min,2020,0.05,0.16,0.2,0.13,0.2,0.08,0.38,0.07,0.08,0.16,0.18,0.09,0.05
Windspeed_Min,2021,0.11,0.04,0.09,0.04,0.08,0.03,0.4,0.25,0.08,0.23,0.05,0.16,0.03
Windspeed_Min,2022,0.2,0.12,0.23,0.09,0.18,0.18,0.03,0.21,0.05,0.05,0.06,0.12,0.03
Precipitation ,1993,68.55,52.73,68.55,284.77,363.87,384.96,295.31,321.68,189.84,232.03,21.09,5.27,2288.67
Precipitation ,1994,0,10.55,131.84,258.4,295.31,284.77,316.41,284.77,268.95,94.92,36.91,5.27,1988.09
Precipitation ,1995,0,79.1,126.56,311.13,258.4,311.13,232.03,263.67,274.22,142.38,26.37,116.02,2141.02
Precipitation ,1996,47.46,15.82,332.23,268.95,353.32,369.14,374.41,400.78,374.41,152.93,52.73,0,2742.19
Precipitation ,1997,26.37,0,100.2,348.05,263.67,305.86,221.48,221.48,210.94,490.43,152.93,31.64,2373.05
Precipitation ,1998,84.38,110.74,52.73,121.29,237.3,363.87,358.59,263.67,263.67,353.32,79.1,0,2288.67
Precipitation ,1999,26.37,0,79.1,110.74,247.85,237.3,237.3,200.39,142.38,279.49,0,0,1560.94
Precipitation ,2000,0,0,5.27,163.48,168.75,189.84,121.29,168.75,152.93,142.38,31.64,31.64,1175.98
Precipitation ,2001,5.27,10.55,147.66,121.29,232.03,210.94,131.84,116.02,94.92,100.2,26.37,0,1197.07
Precipitation ,2002,52.73,5.27,147.66,131.84,121.29,189.84,116.02,121.29,158.2,68.55,10.55,52.73,1175.98
Precipitation ,2003,0,15.82,131.84,105.47,73.83,137.11,94.92,168.75,94.92,26.37,26.37,63.28,938.67
Precipitation ,2004,5.27,26.37,31.64,174.02,68.55,84.38,116.02,110.74,147.66,84.38,68.55,31.64,949.22
Precipitation ,2005,26.37,15.82,126.56,237.3,279.49,89.65,163.48,137.11,131.84,79.1,15.82,0,1302.54
Precipitation ,2006,15.82,68.55,210.94,179.3,290.04,221.48,342.77,226.76,263.67,242.58,42.19,36.91,2141.02
Precipitation ,2007,52.73,63.28,105.47,174.02,337.5,200.39,279.49,321.68,316.41,89.65,36.91,0,1977.54
Precipitation ,2008,15.82,10.55,47.46,279.49,158.2,142.38,226.76,263.67,237.3,216.21,142.38,0,1740.23
Precipitation ,2009,26.37,10.55,52.73,189.84,131.84,147.66,195.12,216.21,247.85,226.76,21.09,79.1,1545.12
Precipitation ,2010,15.82,68.55,105.47,237.3,369.14,326.95,247.85,232.03,232.03,137.11,58.01,21.09,2051.37
Precipitation ,2011,10.55,5.27,58.01,147.66,279.49,179.3,126.56,110.74,131.84,73.83,126.56,0,1249.8
Precipitation ,2012,0,0,31.64,247.85,184.57,121.29,232.03,358.59,290.04,100.2,52.73,31.64,1650.59
Precipitation ,2013,21.09,5.27,147.66,305.86,416.6,295.31,263.67,258.4,195.12,226.76,110.74,0,2246.48
Precipitation ,2014,0,36.91,121.29,284.77,543.16,216.21,232.03,253.12,363.87,247.85,63.28,31.64,2394.14
Precipitation ,2015,0,10.55,36.91,52.73,189.84,247.85,216.21,174.02,84.38,126.56,42.19,26.37,1207.62
Precipitation ,2016,10.55,15.82,68.55,232.03,321.68,158.2,205.66,337.5,210.94,84.38,31.64,15.82,1692.77
Precipitation ,2017,0,94.92,73.83,100.2,274.22,168.75,232.03,200.39,242.58,94.92,15.82,0,1497.66
Precipitation ,2018,10.55,100.2,52.73,189.84,221.48,205.66,100.2,147.66,68.55,89.65,79.1,0,1265.62
Precipitation ,2019,0,10.55,68.55,221.48,137.11,210.94,152.93,274.22,300.59,174.02,84.38,15.82,1650.59
Precipitation ,2020,10.55,26.37,168.75,300.59,237.3,311.13,242.58,316.41,258.4,73.83,31.64,21.09,1998.63
Precipitation ,2021,52.73,31.64,15.82,99.99,220.42,90.07,245.96,345.7,184.06,155.67,35.31,39.25,1516.63
Precipitation ,2022,45.75,23.69,27.64,197.4,94.88,167.79,262.95,176.15,182.47,99.77,13.9,26.98,1319.39
Solar Radiation,1993,6.03,6.87,7.52,7.68,7.28,7.02,7.01,7.35,7.41,7.12,6.86,6.56,7.06
Solar Radiation,1994,6.53,6.38,7.29,7.64,7.38,7.04,7.1,7.25,7.34,7.44,6.83,6.42,7.06
Solar Radiation,1995,6.3,6.62,7.22,7.59,7.21,6.85,6.99,7.36,7.38,7.24,6.74,6.18,6.98
Solar Radiation,1996,6.37,6.99,7.25,7.68,7.25,6.93,7.01,7.05,7.28,7.13,6.69,6.19,6.98
Solar Radiation,1997,6.12,7.15,7.48,7.68,7.31,6.97,6.87,7.14,7.37,7.06,6.48,6.19,6.98
Solar Radiation,1998,6.07,6.73,7.45,7.65,7.27,6.96,6.93,7.19,7.6,6.98,6.75,6.44,7
Solar Radiation,1999,6.62,7.12,7.21,7.58,7.44,7.11,7.09,7.36,7.44,7.07,6.69,6.46,7.1
Solar Radiation,2000,6.52,6.97,7.46,7.55,7.27,7.09,6.93,7.32,7.43,6.83,6.64,6.49,7.04
Solar Radiation,2001,6.73,7.31,7.59,7.72,7.48,7.21,7.24,7.41,7.51,7.22,6.9,6.66,7.25
Solar Radiation,2002,6.72,7.42,7.52,7.73,7.47,7.18,7.21,7.37,7.57,7.28,6.88,6.37,7.22
Solar Radiation,2003,6.82,7.36,7.67,7.69,7.53,7.2,7.04,7.44,7.48,7.32,6.86,6.71,7.26
Solar Radiation,2004,6.72,7.38,7.69,7.66,7.46,7.29,7.24,7.44,7.51,7.37,6.93,6.63,7.27
Solar Radiation,2005,6.85,7.45,7.62,7.71,7.46,7.14,7.14,7.41,7.41,7.27,6.96,6.81,7.27
Solar Radiation,2006,6.88,7.27,7.63,7.74,7.5,7.1,7.13,7.42,7.47,7.22,6.87,6.51,7.23
Solar Radiation,2007,6.75,7.22,7.75,7.68,7.46,7.12,7.24,7.39,7.36,7.34,6.93,6.8,7.25
Solar Radiation,2008,6.94,7.34,7.79,7.73,7.47,7.16,7,7.38,7.44,7.24,6.95,6.68,7.26
Solar Radiation,2009,6.81,7.4,7.71,7.64,7.52,7.31,7.11,7.42,7.42,7.25,6.92,6.46,7.25
Solar Radiation,2010,6.78,7.07,7.56,7.67,7.43,7.12,7.14,7.38,7.42,7.22,6.86,6.59,7.19
Solar Radiation,2011,6.85,7.38,7.77,7.74,7.45,6.84,6.92,7.38,7.39,7.25,6.68,6.65,7.19
Solar Radiation,2012,6.92,7.47,7.74,7.64,7.51,6.98,7.08,7.39,7.42,7.29,6.81,6.6,7.24
Solar Radiation,2013,6.82,7.46,7.45,7.64,7.42,6.99,7.02,7.48,7.42,7.26,6.82,6.69,7.2
Solar Radiation,2014,6.83,7.04,7.61,7.7,7.49,7.21,7.09,7.44,7.44,7.28,6.8,6.67,7.22
Solar Radiation,2015,6.97,7.4,7.77,7.69,7.43,7.12,7.12,7.46,7.47,7.23,6.81,6.52,7.25
Solar Radiation,2016,6.62,7.35,7.68,7.59,7.46,7.1,7.16,7.47,7.46,7.22,6.78,6.74,7.22
Solar Radiation,2017,7.11,7.26,7.78,7.74,7.48,7.14,6.96,7.39,7.39,7.16,6.84,6.82,7.26
Solar Radiation,2018,6.86,7.3,7.48,7.64,7.49,7.06,7.08,7.41,7.59,7.25,6.77,6.59,7.21
Solar Radiation,2019,7.02,7.4,7.82,7.69,7.54,7.12,7.14,7.45,7.44,7.28,6.75,6.54,7.27
Solar Radiation,2020,6.74,7.31,7.54,7.67,7.52,7.21,7.17,7.44,7.46,7.23,6.89,6.72,7.24
Solar Radiation,2021,6.89,7.21,7.84,7.72,7.5,7.15,7.15,7.46,7.42,7.26,6.83,6.63,7.26
Solar Radiation,2022,6.86,7.25,7.69,7.59,7.4,7.11,7.2,7.52,7.41,7.19,6.82,6.57,7.22
