Parameters,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Relative Humidity,2015,55.5,47.56,48.19,51.5,73.06,80.31,84.19,84.75,80.25,73.81,70.31,66.5,68.12
Relative Humidity,2016,67.88,55.5,58.94,73.69,80.69,82.62,87.69,86.44,83.25,75.31,66.25,59.44,73.19
Relative Humidity,2017,40.06,59.44,54.56,56.5,76.75,81.12,86.75,86.19,84.31,75.69,67.06,52.69,68.44
Relative Humidity,2018,52.12,56.31,57.94,69.69,74.25,85.12,85.5,85.38,78.75,73.25,70.19,59.56,70.75
Relative Humidity,2019,39.12,47.19,53.5,72.12,68.19,83.06,84.5,85.88,85.31,75.75,75.31,70.44,70.12
Relative Humidity,2020,63.69,59.12,61.81,68.94,77.38,85.25,88.12,88.56,84.44,72.12,66.31,60.12,73.06
Relative Humidity,2021,58.88,58.94,42.62,58.06,75.94,79.19,86.56,84.88,84.69,76.19,67.31,65.69,69.94
Relative Humidity,2022,65.25,56,49.75,64.75,65.75,81.62,86.12,86.81,85.12,76.88,66.62,64,70.81
Temp_Max,1993,26.63,28.81,30.17,28.98,26.59,23.37,21.97,23.88,23.11,23.37,24.14,25.22,30.17
Temp_Max,1994,28.4,30.45,30.78,31.81,28.34,24.56,22.32,22.62,23.67,23.7,24.91,26.91,31.81
Temp_Max,1995,28.58,29.69,31.69,31.68,28.12,27.4,22.6,23.69,24.12,24.26,24.45,25.48,31.69
Temp_Max,1996,26.54,29.81,30.28,28.05,27.66,23.33,23.14,23.3,23.53,23.78,23.87,25.19,30.28
Temp_Max,1997,27.42,30.15,32.01,29.58,28.04,25.12,23.62,24.09,24.04,24.15,24.37,24.89,32.01
Temp_Max,1998,28.66,27.69,31.18,32.12,29.62,27.71,22.84,22.75,23.14,24.15,23.61,24.35,32.12
Temp_Max,1999,27.08,30.15,31.8,32.15,27.87,25.63,21.97,22.13,23.15,23.72,23.72,24.78,32.15
Temp_Max,2000,27.64,31.05,33.06,31.29,27.15,23.96,22.55,23.62,23.58,24.07,24.44,25.49,33.06
Temp_Max,2001,26.86,30.96,30.74,31.16,29.14,24.32,23.23,23.26,24.39,25.08,25.66,27.83,31.16
Temp_Max,2002,28.01,31.35,30.33,29.94,29.9,28.39,24.3,23.43,24.89,26.6,27.39,28.53,31.35
Temp_Max,2003,30.48,33,32.58,32.7,33.97,30.33,23.64,23.54,24.2,25.94,28.16,28.45,33.97
Temp_Max,2004,30.91,33.07,33.77,31.47,33.51,26.29,24.12,24.04,24.38,25.48,27.03,27.82,33.77
Temp_Max,2005,29.62,33.46,32.94,33.4,27.23,26.62,23.54,24,24.71,25.07,25.35,28.21,33.46
Temp_Max,2006,31.12,32.01,30.82,29.12,28.49,24.58,23.73,23.33,23.8,23.96,24.01,25.11,32.01
Temp_Max,2007,27.08,28.12,31.18,29.6,29.4,25.67,22.9,22.51,23.53,23.63,24.33,25.84,31.18
Temp_Max,2008,28.31,30.45,32.39,30.63,28.59,24.8,22.77,23.66,23.84,23.86,23.99,24.52,32.39
Temp_Max,2009,25.84,29.76,30.58,30.46,30.44,27.3,23.37,23.63,24.43,24.6,24.44,24.95,30.58
Temp_Max,2010,28.26,29.05,30.04,29.54,26.78,24.41,22.58,22.32,23.76,24.3,24.12,24.87,30.04
Temp_Max,2011,27.91,30.51,31.19,31.31,28.8,24.93,24.19,23.02,24.72,25.1,25.12,26.93,31.31
Temp_Max,2012,29.15,31.51,33.05,31.3,28.9,27,23.33,23.21,23.28,24.36,25.02,25.83,33.05
Temp_Max,2013,28.48,31.69,31.72,29.08,25.38,22.85,22.3,22.25,23.91,23.84,24.28,24.76,31.72
Temp_Max,2014,28.12,29.48,30.12,27.65,26.4,26.42,23.37,22.74,23.48,23.98,24.04,24.25,30.12
Temp_Max,2015,27.38,30.08,32.05,32.4,31.78,28.14,23.96,23.42,24.37,24.98,24.9,26.94,32.4
Temp_Max,2016,27.62,30.48,32.25,29.4,26.25,25.6,22.88,22.98,24.45,24.36,24.73,25.69,32.25
Temp_Max,2017,29.04,29.59,32.12,33.02,29.03,26.12,23.62,23.8,24.26,24.76,24.58,25.82,33.02
Temp_Max,2018,28.4,30.33,30.99,28.94,30.61,24.08,23.36,22.99,24.6,25.01,25.16,27.16,30.99
Temp_Max,2019,30.51,32.01,33.39,29.52,30.96,27.23,23.81,23.67,23.45,24.58,24.94,25.71,33.39
Temp_Max,2020,28.08,31.37,32.28,31.96,27.17,24.54,22.59,22.37,23.76,24.26,24.55,26.13,32.28
Temp_Max,2021,27.67,29.15,32.48,32.76,27.8,27.66,23.48,23.47,24.21,24.31,24.73,25.97,32.76
Temp_Max,2022,26.98,29.65,32.19,33.08,30.27,26.36,23.36,23.45,23.83,24.3,24.33,25.57,33.08
Temp_Min,1993,8.94,9.83,7.2,13.94,12.45,11.93,12.05,10.64,10.8,7.96,7.34,5.54,5.54
Temp_Min,1994,5.01,8.18,12.38,14.04,11.94,12.25,12.01,12.11,11.12,6.78,6.89,7.72,5.01
Temp_Min,1995,7.14,10.45,12.02,13.72,11.18,11.98,11.73,11.72,11.3,7.76,7.68,9.01,7.14
Temp_Min,1996,9.28,9.37,12.56,12.62,10.7,12.16,12.15,11.56,11.55,8.73,6.19,6.61,6.19
Temp_Min,1997,9.3,6.3,12.3,13.51,12.32,12.03,11.37,12.09,12.05,9.02,9.38,9.44,6.3
Temp_Min,1998,10.79,12.15,13.1,13.69,13.91,12.64,12.52,12.25,11.63,8.56,5.82,5.81,5.81
Temp_Min,1999,6.79,6.81,11.83,13.87,12.83,12.05,11.76,11.31,10.8,7.83,5.65,6.68,5.65
Temp_Min,2000,6.65,9.05,11.62,11.27,13.24,11.55,10.58,10.83,11.81,9.31,6.33,6.98,6.33
Temp_Min,2001,8.78,8.83,10.65,12.19,12.74,11.4,11.94,11.1,11.79,9.85,7.55,8.92,7.55
Temp_Min,2002,7.94,9.58,13.06,11.47,13.31,12.17,12.24,12.15,11.12,9.73,8.04,9.19,7.94
Temp_Min,2003,7.41,11.01,12.48,12.09,13.35,12.23,11.56,11.98,12.1,8.5,9.12,5.95,5.95
Temp_Min,2004,10.14,10.55,10.57,14.49,13.47,12.74,11.61,12.05,11.48,7.56,7.66,7.32,7.32
Temp_Min,2005,5.08,9.33,11.93,11.71,12.64,12.87,11.61,11.66,12.61,7.75,6.62,6.38,5.08
Temp_Min,2006,9.27,10.34,12.67,11.9,13.19,12.8,11.13,11.48,12.08,9.65,6.53,8.15,6.53
Temp_Min,2007,7.05,11.38,11.08,11.88,12.58,12.35,11.58,12.63,11.69,6.82,5.19,4.69,4.69
Temp_Min,2008,7.23,7.55,9,10.97,12.48,12.2,11.89,12.17,11.92,7.91,5.1,6.02,5.1
Temp_Min,2009,6.72,9.47,12.16,13.23,11.98,12.32,11.3,12.26,10.81,7.87,6.23,9.91,6.23
Temp_Min,2010,8.23,12.59,10.83,12.9,14.26,12.87,12.23,12.45,11.83,8.69,6.65,5.4,5.4
Temp_Min,2011,7.93,7.15,10.51,12,12.63,12.16,11.92,11.07,11.78,7.78,8.6,5.46,5.46
Temp_Min,2012,6.41,8.8,10.47,12.82,12.34,11.88,11.55,11.85,12.17,7.15,7.87,7.94,6.41
Temp_Min,2013,7.91,10.62,13.02,12.8,11.98,12.21,11.93,11.62,11.74,7.39,7.41,5.82,5.82
Temp_Min,2014,8.53,10.9,12.73,13.17,12.35,11.73,11.98,12.01,11.71,8.7,8.08,7.02,7.02
Temp_Min,2015,5.94,8.49,10.86,12.15,12.33,12.48,12.73,11.36,12.42,11.19,7.9,8.42,5.94
Temp_Min,2016,11.06,9.63,11.98,14.65,12.23,12.42,12.12,11.62,11.69,7.34,4.99,5.7,4.99
Temp_Min,2017,3.94,10.12,12.43,12.56,13.43,11.71,12.1,12.18,11.95,9.88,6.78,5.07,3.94
Temp_Min,2018,6.3,7.28,11.31,13.38,12.34,12.05,12.17,10.74,10.24,9.23,6.92,8.72,6.3
Temp_Min,2019,6.69,10.95,12.57,13.55,12.82,13.19,12.06,12.51,11.37,7.88,9.11,8.26,6.69
Temp_Min,2020,8.94,11.3,12.28,13.67,12.39,12.86,12.29,11.93,12.06,7.62,6.54,6.5,6.5
Temp_Min,2021,7.3,8.91,10.27,12.05,11.26,12.66,12.08,12.33,11.9,8,8.23,5.39,5.39
Temp_Min,2022,7.53,9.53,10.97,13.43,12.41,12.6,12.34,12.19,11.74,9.62,8.01,7.8,7.53
Windspeed_Max,1993,6.3,5.79,6.16,4.23,4.96,4.13,4.47,4.71,4.07,5.07,5.61,5.64,6.3
Windspeed_Max,1994,5.9,5.43,5.2,5.67,3.98,4.86,4.93,4.62,5.44,5.16,5.36,5.28,5.9
Windspeed_Max,1995,4.12,4.92,5.84,5.64,4.73,4.71,5.08,5.41,3.91,6.69,4.48,4.53,6.69
Windspeed_Max,1996,5.26,5.28,4.91,4.2,4.55,4.83,4.29,4.17,4.27,5.74,5.46,5.88,5.88
Windspeed_Max,1997,4.66,6.78,6.2,5.02,4.66,3.7,5.21,4.12,3.77,4.66,4.48,4.9,6.78
Windspeed_Max,1998,7.69,4.2,5.03,5.06,4.94,4.74,4.53,4.34,3.82,4.28,5.33,6,7.69
Windspeed_Max,1999,5.62,6.8,4.6,5.65,4.55,4.36,4.89,4.4,4.74,4.7,5.57,5.43,6.8
Windspeed_Max,2000,7.16,5.37,7.5,7.44,4.56,4.42,4.43,5.13,5.34,4.38,4.64,5.94,7.5
Windspeed_Max,2001,4.43,5.55,4.23,7.91,4.48,5.87,4.62,5.95,4.33,4.67,6.31,5.75,7.91
Windspeed_Max,2002,4.79,5.79,5.23,7.75,4.23,5.34,4.21,4.49,4.84,6.03,6.02,5.51,7.75
Windspeed_Max,2003,5.55,6.38,6.91,7.33,8.21,3.91,4.8,5.84,4.15,6.89,6.84,6.01,8.21
Windspeed_Max,2004,5.55,6.7,6.21,5.66,7.38,4.35,4.56,4.89,4.6,6.12,5.68,5.14,7.38
Windspeed_Max,2005,5.75,6.25,5.2,5.39,4.89,4.24,5.44,4.44,4.59,5.2,6.2,5.72,6.25
Windspeed_Max,2006,6.44,6.18,4.23,4.34,5.47,4.18,5.23,4.38,4.24,4.95,4.91,4.62,6.44
Windspeed_Max,2007,5.17,6.05,6.13,5.53,5.09,4.73,4.66,4.02,5.02,5.77,6.2,5.34,6.2
Windspeed_Max,2008,6.12,7.4,6.41,6.07,4.87,5.29,4.46,4.15,4.77,5.16,4.8,5.2,7.4
Windspeed_Max,2009,6.41,6.21,5.53,5.12,6.17,3.76,5.47,4.3,4.2,4.99,5.45,4.87,6.41
Windspeed_Max,2010,5.71,4.17,6.14,4.95,4.38,3.63,4.95,4.98,4.39,4.69,5.16,6.92,6.92
Windspeed_Max,2011,5.42,5.81,5.51,6.12,5.2,4.17,4.56,5.23,4.77,5.19,4.93,4.96,6.12
Windspeed_Max,2012,5.23,6.02,5.63,4.18,6.14,4.82,4.79,4.7,4.29,5.24,5.18,5.36,6.14
Windspeed_Max,2013,5.47,7.72,4.31,3.63,4.27,4.76,5.02,4.35,3.85,5.66,5.2,4.92,7.72
Windspeed_Max,2014,5.53,5.21,6.2,5.45,3.55,4.23,4.16,4.88,4.2,5.27,5.84,7.02,7.02
Windspeed_Max,2015,4.3,5.39,6.16,4.56,5.38,4.5,5.09,4.45,4.27,6.91,6.48,5.12,6.91
Windspeed_Max,2016,5.5,6.76,6.77,4.3,5.12,4.2,5.07,5.51,4.23,5.66,5.55,6.8,6.8
Windspeed_Max,2017,5.02,5.65,6.02,6.84,5.38,4.17,4.83,4.87,4.77,6.11,5.21,5.66,6.84
Windspeed_Max,2018,5.14,5.41,5.98,4.63,7.65,4.19,4.28,4.52,5.67,5.09,7.51,5.84,7.65
Windspeed_Max,2019,7.4,5.82,6.56,4.67,5.3,4.27,4.81,4.88,4.72,5.19,4.96,5.75,7.4
Windspeed_Max,2020,4.83,6.37,5.01,6.09,5.15,4.47,5.27,5.16,4.72,4.83,5.66,4.87,6.37
Windspeed_Max,2021,5.32,5.16,7.09,5.9,4.18,4.23,5.76,4.48,4.08,6.23,6.63,5.51,7.09
Windspeed_Max,2022,5.81,5.8,7.28,6.63,6.91,4.11,4.97,4.33,4.27,5.24,5.62,5.45,7.28
Windspeed_Min,1993,0.07,0.02,0.05,0.06,0.03,0.06,0.13,0.02,0.09,0.07,0.09,0.05,0.02
Windspeed_Min,1994,0.13,0.2,0.04,0.05,0.05,0.05,0.44,0.05,0.34,0.6,0.18,0.05,0.04
Windspeed_Min,1995,0.04,0.1,0.16,0.09,0.03,0.02,0.28,0.13,0.08,0.09,0.05,0.08,0.02
Windspeed_Min,1996,0.07,0.03,0.06,0.02,0.05,0.13,0.31,0.05,0.09,0.12,0.05,0.03,0.02
Windspeed_Min,1997,0.04,0.01,0.11,0.07,0.04,0.07,0.2,0.21,0.12,0.1,0.07,0.12,0.01
Windspeed_Min,1998,0.03,0.05,0.07,0.05,0.1,0.03,0.31,0.21,0.07,0.11,0.1,0.2,0.03
Windspeed_Min,1999,0.16,0.08,0.05,0.05,0.05,0.12,0.15,0.26,0.25,0.11,0.22,0.03,0.03
Windspeed_Min,2000,0.12,0.17,0.12,0.12,0.02,0.27,0.16,0.08,0.12,0.09,0.1,0.04,0.02
Windspeed_Min,2001,0.06,0.05,0.04,0.07,0.11,0.09,0.58,0.29,0.01,0.06,0.05,0.05,0.01
Windspeed_Min,2002,0.05,0.02,0.02,0.14,0.02,0.12,0.13,0.09,0.02,0.05,0.02,0.05,0.02
Windspeed_Min,2003,0.09,0.12,0.09,0.08,0.21,0.22,0.09,0.3,0.07,0.07,0.09,0.05,0.05
Windspeed_Min,2004,0.1,0.19,0.09,0.08,0.05,0.34,0.04,0.16,0.09,0.12,0.16,0.17,0.04
Windspeed_Min,2005,0.08,0.14,0.19,0.05,0.03,0.04,0.12,0.06,0.08,0.02,0.02,0.07,0.02
Windspeed_Min,2006,0.1,0.09,0.02,0.04,0.09,0.03,0.16,0.1,0.08,0.1,0.17,0.09,0.02
Windspeed_Min,2007,0.08,0.07,0.08,0.04,0.05,0.09,0.37,0.11,0.12,0.26,0.12,0.25,0.04
Windspeed_Min,2008,0.15,0.08,0.05,0.23,0.06,0.17,0.15,0.07,0.09,0.09,0.03,0.06,0.03
Windspeed_Min,2009,0.05,0.38,0.04,0.08,0.16,0.09,0.04,0.35,0.03,0.09,0.07,0.05,0.03
Windspeed_Min,2010,0.02,0.07,0.11,0.05,0.05,0.09,0.59,0.23,0.07,0.34,0.08,0.16,0.02
Windspeed_Min,2011,0.09,0.06,0.16,0.12,0.05,0.01,0.05,0.02,0.08,0.08,0.05,0.02,0.01
Windspeed_Min,2012,0.02,0.11,0.04,0.01,0.16,0.02,0.18,0.28,0.05,0.1,0.12,0.05,0.01
Windspeed_Min,2013,0.02,0.04,0.03,0.03,0.07,0.23,0.13,0.31,0.11,0.09,0.13,0.15,0.02
Windspeed_Min,2014,0.03,0.11,0.09,0.07,0.09,0.07,0.13,0.13,0.1,0.21,0.05,0.07,0.03
Windspeed_Min,2015,0.02,0.08,0.09,0.09,0.12,0.14,0.08,0.06,0.1,0.1,0.13,0.13,0.02
Windspeed_Min,2016,0.04,0.08,0.03,0.1,0.06,0.08,0.04,0.12,0.04,0.09,0.09,0.1,0.03
Windspeed_Min,2017,0.1,0.08,0.05,0.1,0.13,0.14,0.1,0.27,0.12,0.22,0.03,0.09,0.03
Windspeed_Min,2018,0.07,0.14,0.12,0.05,0.13,0.17,0.03,0.48,0.13,0.16,0.04,0.04,0.03
Windspeed_Min,2019,0.06,0.07,0.16,0.02,0.08,0.1,0.21,0.17,0.14,0.09,0.07,0.05,0.02
Windspeed_Min,2020,0.09,0.16,0.01,0.11,0.08,0.23,0.31,0.15,0.08,0.23,0.23,0.05,0.01
Windspeed_Min,2021,0.16,0.05,0.26,0.06,0.06,0.07,0.53,0.16,0.16,0.1,0.08,0.12,0.05
Windspeed_Min,2022,0.07,0.12,0.16,0.04,0.14,0.09,0.38,0.15,0.11,0.14,0.3,0.08,0.04
Precipitation,1993,0,0,0,5.27,10.55,15.82,10.55,10.55,5.27,5.27,0,0,5.27
Precipitation,1994,0,0,0,5.27,5.27,10.55,10.55,10.55,10.55,0,0,0,5.27
Precipitation,1995,0,0,0,5.27,5.27,10.55,10.55,10.55,10.55,5.27,0,0,5.27
Precipitation,1996,0,0,5.27,5.27,10.55,10.55,15.82,10.55,10.55,5.27,0,0,5.27
Precipitation,1997,0,0,0,5.27,5.27,15.82,5.27,10.55,10.55,10.55,0,0,5.27
Precipitation,1998,0,0,0,0,5.27,15.82,15.82,10.55,10.55,10.55,0,0,5.27
Precipitation,1999,0,0,0,5.27,10.55,10.55,10.55,5.27,5.27,10.55,0,0,5.27
Precipitation,2000,0,0,0,5.27,5.27,10.55,5.27,5.27,5.27,5.27,0,0,5.27
Precipitation,2001,0,0,5.27,0,5.27,10.55,5.27,5.27,5.27,5.27,0,0,5.27
Precipitation,2002,0,0,5.27,5.27,5.27,5.27,5.27,5.27,5.27,0,0,0,5.27
Precipitation,2003,0,0,5.27,0,0,5.27,5.27,5.27,5.27,0,0,0,5.27
Precipitation,2004,0,0,0,0,0,5.27,5.27,5.27,5.27,5.27,0,0,5.27
Precipitation,2005,0,0,5.27,5.27,5.27,5.27,5.27,5.27,5.27,0,0,0,5.27
Precipitation,2006,0,0,5.27,5.27,5.27,10.55,15.82,10.55,10.55,5.27,0,0,5.27
Precipitation,2007,0,0,5.27,5.27,10.55,5.27,10.55,10.55,10.55,5.27,0,0,5.27
Precipitation,2008,0,0,0,5.27,5.27,5.27,10.55,10.55,5.27,5.27,5.27,0,5.27
Precipitation,2009,0,0,0,5.27,5.27,5.27,5.27,10.55,10.55,5.27,0,0,5.27
Precipitation,2010,0,0,0,5.27,10.55,10.55,10.55,10.55,10.55,5.27,0,0,5.27
Precipitation,2011,0,0,0,5.27,5.27,10.55,5.27,5.27,5.27,0,0,0,5.27
Precipitation,2012,0,0,0,5.27,5.27,5.27,10.55,10.55,10.55,0,0,0,5.27
Precipitation,2013,0,0,5.27,5.27,15.82,10.55,10.55,10.55,5.27,5.27,0,0,5.27
Precipitation,2014,0,0,5.27,10.55,10.55,10.55,10.55,10.55,10.55,5.27,0,0,5.27
Precipitation,2015,0,0,0,0,5.27,10.55,10.55,5.27,5.27,5.27,0,0,5.27
Precipitation,2016,0,0,0,5.27,10.55,10.55,10.55,15.82,10.55,5.27,0,0,5.27
Precipitation,2017,0,5.27,0,0,10.55,10.55,10.55,10.55,10.55,0,0,0,5.27
Precipitation,2018,0,5.27,0,5.27,10.55,10.55,5.27,10.55,5.27,0,0,0,5.27
Precipitation,2019,0,0,0,5.27,5.27,10.55,5.27,10.55,10.55,0,0,0,5.27
Precipitation,2020,0,0,5.27,5.27,10.55,15.82,15.82,10.55,10.55,5.27,0,0,5.27
Precipitation,2021,1.19,0.94,0.34,3.67,8.4,6.23,12.8,10.09,6.27,3.74,2.15,1.05,4.77
Precipitation,2022,1.14,1.07,0.64,8,3.32,7.19,13.69,8.13,6.09,2.82,0.37,0.64,4.44
Solar Radiation,1993,6.03,6.87,7.52,7.68,7.28,7.02,7.01,7.35,7.41,7.12,6.86,6.56,7.06
Solar Radiation,1994,6.53,6.38,7.29,7.64,7.38,7.04,7.1,7.25,7.34,7.44,6.83,6.42,7.06
Solar Radiation,1995,6.3,6.62,7.22,7.59,7.21,6.85,6.99,7.36,7.38,7.24,6.74,6.18,6.98
Solar Radiation,1996,6.37,6.99,7.25,7.68,7.25,6.93,7.01,7.05,7.28,7.13,6.69,6.19,6.98
Solar Radiation,1997,6.12,7.15,7.48,7.68,7.31,6.97,6.87,7.14,7.37,7.06,6.48,6.19,6.98
Solar Radiation,1998,6.07,6.73,7.45,7.65,7.27,6.96,6.93,7.19,7.6,6.98,6.75,6.44,7
Solar Radiation,1999,6.62,7.12,7.21,7.58,7.44,7.11,7.09,7.36,7.44,7.07,6.69,6.46,7.1
Solar Radiation,2000,6.52,6.97,7.46,7.55,7.27,7.09,6.93,7.32,7.43,6.83,6.64,6.49,7.04
Solar Radiation,2001,6.73,7.31,7.59,7.72,7.48,7.21,7.24,7.41,7.51,7.22,6.9,6.66,7.25
Solar Radiation,2002,6.72,7.42,7.52,7.73,7.47,7.18,7.21,7.37,7.57,7.28,6.88,6.37,7.22
Solar Radiation,2003,6.82,7.36,7.67,7.69,7.53,7.2,7.04,7.44,7.48,7.32,6.86,6.71,7.26
Solar Radiation,2004,6.72,7.38,7.69,7.66,7.46,7.29,7.24,7.44,7.51,7.37,6.93,6.63,7.27
Solar Radiation,2005,6.85,7.45,7.62,7.71,7.46,7.14,7.14,7.41,7.41,7.27,6.96,6.81,7.27
Solar Radiation,2006,6.88,7.27,7.63,7.74,7.5,7.1,7.13,7.42,7.47,7.22,6.87,6.51,7.23
Solar Radiation,2007,6.75,7.22,7.75,7.68,7.46,7.12,7.24,7.39,7.36,7.34,6.93,6.8,7.25
Solar Radiation,2008,6.94,7.34,7.79,7.73,7.47,7.16,7,7.38,7.44,7.24,6.95,6.68,7.26
Solar Radiation,2009,6.81,7.4,7.71,7.64,7.52,7.31,7.11,7.42,7.42,7.25,6.92,6.46,7.25
Solar Radiation,2010,6.78,7.07,7.56,7.67,7.43,7.12,7.14,7.38,7.42,7.22,6.86,6.59,7.19
Solar Radiation,2011,6.85,7.38,7.77,7.74,7.45,6.84,6.92,7.38,7.39,7.25,6.68,6.65,7.19
Solar Radiation,2012,6.92,7.47,7.74,7.64,7.51,6.98,7.08,7.39,7.42,7.29,6.81,6.6,7.24
Solar Radiation,2013,6.82,7.46,7.45,7.64,7.42,6.99,7.02,7.48,7.42,7.26,6.82,6.69,7.2
Solar Radiation,2014,6.83,7.04,7.61,7.7,7.49,7.21,7.09,7.44,7.44,7.28,6.8,6.67,7.22
Solar Radiation,2015,6.97,7.4,7.77,7.69,7.43,7.12,7.12,7.46,7.47,7.23,6.81,6.52,7.25
Solar Radiation,2016,6.62,7.35,7.68,7.59,7.46,7.1,7.16,7.47,7.46,7.22,6.78,6.74,7.22
Solar Radiation,2017,7.11,7.26,7.78,7.74,7.48,7.14,6.96,7.39,7.39,7.16,6.84,6.82,7.26
Solar Radiation,2018,6.86,7.3,7.48,7.64,7.49,7.06,7.08,7.41,7.59,7.25,6.77,6.59,7.21
Solar Radiation,2019,7.02,7.4,7.82,7.69,7.54,7.12,7.14,7.45,7.44,7.28,6.75,6.54,7.27
Solar Radiation,2020,6.74,7.31,7.54,7.67,7.52,7.21,7.17,7.44,7.46,7.23,6.89,6.72,7.24
Solar Radiation,2021,6.89,7.21,7.84,7.72,7.5,7.15,7.15,7.46,7.42,7.26,6.83,6.63,7.26
Solar Radiation,2022,6.86,7.25,7.69,7.59,7.4,7.11,7.2,7.52,7.41,7.19,6.82,6.57,7.22
